iteration,node,k_without_i,candidate_k,vram_without_i_fraction,candidate_vram_fraction,queue_cost,memory_penalty,center_cost_increment,llm_center_cost_raw,verified_center_cost_increment,llm_numeric_within_tolerance,state_hash,state_reused_in_experiment,persistent_cache_hit,compute_impact,vram_impact,semantic_warning,model,latency_ms,resolved_model,prompt_tokens,completion_tokens,total_tokens,attempts,parse_ok
0,83,50,51,0.7093749999999999,0.7235624999999999,0.2127949022650918,0.27676583842303565,0.48956074068812744,0.48956074068812744,0.48956074068812744,1,9c4b72076d62f75bfeff1504ad45d4e9991bd52023c988d6cd2e127e71ea4bde,0,0,0.02,0.02,none,deepseek-v4-flash,1319.8108751093969,deepseek-v4-flash,328,46,374,1,True
1,14,51,52,0.7235624999999999,0.7377499999999998,0.21279492746176348,0.3235614399888084,0.5363563674505718,0.5363563674505719,0.5363563674505718,1,c464d578c3aa5f56fbf118b91b4734b8c751afcc400d379c9b6156cb38d4715e,0,0,0.02,0.02,"Congestion increase may cause delay; VRAM load approaching 0.74, consider monitoring.",deepseek-v4-flash,1126.9890000112355,deepseek-v4-flash,325,64,389,1,True
2,36,51,52,0.7235624999999999,0.7377499999999998,0.21279492746176348,0.3235614399888084,0.5363563674505718,0.5363563674505719,0.5363563674505718,1,15526a7b042d0800ef0c273427d06e5627b5c0466a6521884256ca0d48caa790,0,0,0.21279492746176348,0.3235614399888084,Congestion increase from 51 to 52 may cause slight delay.,deepseek-v4-flash,1576.470541069284,deepseek-v4-flash,328,74,402,1,True
3,92,51,52,0.7235624999999999,0.7377499999999998,0.21279492746176348,0.3235614399888084,0.5363563674505718,0.5363563674505719,0.5363563674505718,1,084fb9fd351b795befdb35f57105ce2ee927e4026965b844b768601e60ca3688,0,0,0.21279492746176348,0.3235614399888084,none,deepseek-v4-flash,1648.4872499713674,deepseek-v4-flash,328,56,384,1,True
4,12,51,52,0.7235624999999999,0.7377499999999998,0.21279492746176348,0.3235614399888084,0.5363563674505718,0.5363563674505719,0.5363563674505718,1,75aa89af8e53edad3eab7b37fe5e0511b8360126e621bd7b6a9f525b4f9d96df,0,0,0.21279492746176348,0.3235614399888084,none,deepseek-v4-flash,1247.7731249528006,deepseek-v4-flash,328,56,384,1,True
5,6,52,53,0.7377499999999998,0.7519374999999998,0.21279495373061616,0.3782692475492947,0.5910642012799109,0.5910642012799109,0.5910642012799109,1,a195004d319bfb1a4a4c853599c17c078d0997161d853f74baaf35bdde56ae4b,0,0,0.21279495373061616,0.3782692475492947,High VRAM load increase from 0.73775 to 0.751937; consider offloading to reduce memory pressure.,deepseek-v4-flash,1581.6902079386637,deepseek-v4-flash,328,86,414,1,True
6,61,52,53,0.7377499999999998,0.7519374999999998,0.21279495373061616,0.3782692475492947,0.5910642012799109,0.5910642012799109,0.5910642012799109,1,5c7dc817af9f396921527e1ccb5fb3efd2f0ff37fb8762915d6ae35e32da0c70,0,0,0.21279495373061616,0.3782692475492947,High VRAM load increase (0.751937) may cause OOM; consider reducing num_images or steps.,deepseek-v4-flash,1832.3260839097202,deepseek-v4-flash,324,83,407,1,True
7,41,53,54,0.7519374999999998,0.7661249999999998,0.21279498114157347,0.44222705785478894,0.6550220389963624,0.6550220389963624,0.6550220389963624,1,28fb86b667494b780ac2849b5c802db16d47e58be0e4ce2e71dada6c2b30553e,0,0,0.21279498114157347,0.44222705785478894,None,deepseek-v4-flash,1137.0623339898884,deepseek-v4-flash,325,61,386,1,True
8,4,53,54,0.7519374999999998,0.7661249999999998,0.21279498114157347,0.44222705785478894,0.6550220389963624,0.6550220389963624,0.6550220389963624,1,46907301a7245d0b85a6440c957e52924f7666abbc4ed16e561ad5a366a79bcc,0,0,0.21279498114157347,0.44222705785478894,none,deepseek-v4-flash,1404.0604999754578,deepseek-v4-flash,332,56,388,1,True
9,65,54,55,0.7661249999999998,0.7803124999999999,0.21279500977077437,0.5169988624925624,0.7297938722633368,0.7297938722633368,0.7297938722633368,1,62fe20d4db7a4062e6165a626e9d7c3f7a70ee14875f051342fb8aabd81ea018,0,0,0.21279500977077437,0.5169988624925624,none,deepseek-v4-flash,965.9801250090823,deepseek-v4-flash,328,56,384,1,True
