iteration,k_offload,potential,system_total_cost_normalized,vram_load_fraction,changed,model
0,51,167.07043503839282,180.65291262974202,0.7331249999999999,0,B_utilization_proxy_pdf_cost
1,51,167.07043503839282,180.65291262974202,0.7331249999999999,1,B_utilization_proxy_pdf_cost
2,52,165.83120285616937,182.10314056894555,0.7474999999999999,0,B_utilization_proxy_pdf_cost
3,52,165.83120285616937,182.10314056894555,0.7474999999999999,0,B_utilization_proxy_pdf_cost
4,52,165.83120285616937,182.10314056894555,0.7474999999999999,0,B_utilization_proxy_pdf_cost
5,52,165.83120285616937,182.10314056894555,0.7474999999999999,1,B_utilization_proxy_pdf_cost
6,53,163.76995421950096,183.2543624321299,0.761875,0,B_utilization_proxy_pdf_cost
7,53,163.76995421950096,183.2543624321299,0.761875,1,B_utilization_proxy_pdf_cost
8,54,160.18384699985347,183.50402512890815,0.7762499999999999,0,B_utilization_proxy_pdf_cost
9,54,160.18384699985347,183.50402512890815,0.7762499999999999,1,B_utilization_proxy_pdf_cost
10,55,158.127088977004,186.025641626467,0.7906249999999999,1,B_utilization_proxy_pdf_cost
11,56,156.50686051401703,189.86828642384265,0.8049999999999999,1,B_utilization_proxy_pdf_cost
12,57,153.44350404002762,193.32102399408365,0.819375,0,B_utilization_proxy_pdf_cost
13,57,153.44350404002762,193.32102399408365,0.819375,0,B_utilization_proxy_pdf_cost
14,57,153.44350404002762,193.32102399408365,0.819375,1,B_utilization_proxy_pdf_cost
15,58,151.45292333382113,199.10033659572795,0.83375,0,B_utilization_proxy_pdf_cost
16,58,151.45292333382113,199.10033659572795,0.83375,1,B_utilization_proxy_pdf_cost
17,59,148.91872528901175,205.82823027859595,0.8481249999999999,1,B_utilization_proxy_pdf_cost
18,60,148.58099047216865,216.5280784438372,0.8624999999999999,0,B_utilization_proxy_pdf_cost
19,60,148.58099047216865,216.5280784438372,0.8624999999999999,0,B_utilization_proxy_pdf_cost
20,60,148.58099047216865,216.5280784438372,0.8624999999999999,0,B_utilization_proxy_pdf_cost
21,60,148.58099047216865,216.5280784438372,0.8624999999999999,1,B_utilization_proxy_pdf_cost
22,61,147.89280132033358,228.98953668741896,0.876875,0,B_utilization_proxy_pdf_cost
23,61,147.89280132033358,228.98953668741896,0.876875,0,B_utilization_proxy_pdf_cost
24,61,147.89280132033358,228.98953668741896,0.876875,0,B_utilization_proxy_pdf_cost
25,61,147.89280132033358,228.98953668741896,0.876875,0,B_utilization_proxy_pdf_cost
26,61,147.89280132033358,228.98953668741896,0.876875,1,B_utilization_proxy_pdf_cost
27,62,147.65730688671067,244.41555038209148,0.8912499999999999,0,B_utilization_proxy_pdf_cost
28,62,147.65730688671067,244.41555038209148,0.8912499999999999,1,B_utilization_proxy_pdf_cost
29,61,146.84546843714654,227.94220380423192,0.876875,0,B_utilization_proxy_pdf_cost
30,61,146.84546843714654,227.94220380423192,0.876875,0,B_utilization_proxy_pdf_cost
31,61,146.84546843714654,227.94220380423192,0.876875,0,B_utilization_proxy_pdf_cost
32,61,146.84546843714654,227.94220380423192,0.876875,0,B_utilization_proxy_pdf_cost
33,61,146.84546843714654,227.94220380423192,0.876875,0,B_utilization_proxy_pdf_cost
34,61,146.84546843714654,227.94220380423192,0.876875,0,B_utilization_proxy_pdf_cost
35,61,146.84546843714654,227.94220380423192,0.876875,0,B_utilization_proxy_pdf_cost
36,61,146.84546843714654,227.94220380423192,0.876875,0,B_utilization_proxy_pdf_cost
37,61,146.84546843714654,227.94220380423192,0.876875,1,B_utilization_proxy_pdf_cost
38,60,146.23568324732057,214.18277121898907,0.8624999999999999,0,B_utilization_proxy_pdf_cost
39,60,146.23568324732057,214.18277121898907,0.8624999999999999,1,B_utilization_proxy_pdf_cost
40,59,145.98962333087533,202.89912832045957,0.8481249999999999,1,B_utilization_proxy_pdf_cost
41,60,144.55593983071017,212.50302780237868,0.8624999999999999,1,B_utilization_proxy_pdf_cost
42,61,144.30698092870628,225.4037162957917,0.876875,0,B_utilization_proxy_pdf_cost
43,61,144.30698092870628,225.4037162957917,0.876875,1,B_utilization_proxy_pdf_cost
44,62,143.94717859501583,240.70542209039664,0.8912499999999999,1,B_utilization_proxy_pdf_cost
45,63,142.8909216686388,258.2973396341954,0.9056249999999999,1,B_utilization_proxy_pdf_cost
46,62,142.61551080298344,239.37375429836428,0.8912499999999999,1,B_utilization_proxy_pdf_cost
47,63,142.580793376944,257.9872113425006,0.9056249999999999,0,B_utilization_proxy_pdf_cost
48,63,142.580793376944,257.9872113425006,0.9056249999999999,0,B_utilization_proxy_pdf_cost
49,63,142.580793376944,257.9872113425006,0.9056249999999999,0,B_utilization_proxy_pdf_cost
50,63,142.580793376944,257.9872113425006,0.9056249999999999,1,B_utilization_proxy_pdf_cost
51,62,142.27222923647435,239.03047273185516,0.8912499999999999,0,B_utilization_proxy_pdf_cost
52,62,142.27222923647435,239.03047273185516,0.8912499999999999,1,B_utilization_proxy_pdf_cost
53,61,142.11785196179204,223.21458732887746,0.876875,0,B_utilization_proxy_pdf_cost
54,61,142.11785196179204,223.21458732887746,0.876875,0,B_utilization_proxy_pdf_cost
55,61,142.11785196179204,223.21458732887746,0.876875,1,B_utilization_proxy_pdf_cost
56,62,141.97222923647433,238.73047273185514,0.8912499999999999,0,B_utilization_proxy_pdf_cost
57,62,141.97222923647433,238.73047273185514,0.8912499999999999,0,B_utilization_proxy_pdf_cost
58,62,141.97222923647433,238.73047273185514,0.8912499999999999,1,B_utilization_proxy_pdf_cost
59,61,141.43534014545173,222.53207551253715,0.876875,0,B_utilization_proxy_pdf_cost
60,61,141.43534014545173,222.53207551253715,0.876875,0,B_utilization_proxy_pdf_cost
61,61,141.43534014545173,222.53207551253715,0.876875,1,B_utilization_proxy_pdf_cost
62,62,140.46871809535347,237.22696159073428,0.8912499999999999,1,B_utilization_proxy_pdf_cost
63,61,139.9082638456543,221.0049992127397,0.876875,0,B_utilization_proxy_pdf_cost
64,61,139.9082638456543,221.0049992127397,0.876875,0,B_utilization_proxy_pdf_cost
65,61,139.9082638456543,221.0049992127397,0.876875,1,B_utilization_proxy_pdf_cost
66,62,139.23833322026906,235.99657671564987,0.8912499999999999,0,B_utilization_proxy_pdf_cost
67,62,139.23833322026906,235.99657671564987,0.8912499999999999,0,B_utilization_proxy_pdf_cost
68,62,139.23833322026906,235.99657671564987,0.8912499999999999,0,B_utilization_proxy_pdf_cost
69,62,139.23833322026906,235.99657671564987,0.8912499999999999,0,B_utilization_proxy_pdf_cost
70,62,139.23833322026906,235.99657671564987,0.8912499999999999,1,B_utilization_proxy_pdf_cost
71,61,139.10016121229845,220.19689657938386,0.876875,0,B_utilization_proxy_pdf_cost
72,61,139.10016121229845,220.19689657938386,0.876875,0,B_utilization_proxy_pdf_cost
73,61,139.10016121229845,220.19689657938386,0.876875,1,B_utilization_proxy_pdf_cost
74,62,138.05933254504959,234.81757604043042,0.8912499999999999,1,B_utilization_proxy_pdf_cost
75,61,138.0252118537569,219.12194722084234,0.876875,0,B_utilization_proxy_pdf_cost
76,61,138.0252118537569,219.12194722084234,0.876875,0,B_utilization_proxy_pdf_cost
77,61,138.0252118537569,219.12194722084234,0.876875,0,B_utilization_proxy_pdf_cost
78,61,138.0252118537569,219.12194722084234,0.876875,1,B_utilization_proxy_pdf_cost
79,62,137.9998457118288,234.75808920720962,0.8912499999999999,0,B_utilization_proxy_pdf_cost
80,62,137.9998457118288,234.75808920720962,0.8912499999999999,0,B_utilization_proxy_pdf_cost
81,62,137.9998457118288,234.75808920720962,0.8912499999999999,0,B_utilization_proxy_pdf_cost
82,62,137.9998457118288,234.75808920720962,0.8912499999999999,1,B_utilization_proxy_pdf_cost
83,63,137.66310262745043,253.06952059300704,0.9056249999999999,0,B_utilization_proxy_pdf_cost
84,63,137.66310262745043,253.06952059300704,0.9056249999999999,0,B_utilization_proxy_pdf_cost
85,63,137.66310262745043,253.06952059300704,0.9056249999999999,0,B_utilization_proxy_pdf_cost
86,63,137.66310262745043,253.06952059300704,0.9056249999999999,1,B_utilization_proxy_pdf_cost
87,62,136.84441019528595,233.60265369066676,0.8912499999999999,0,B_utilization_proxy_pdf_cost
88,62,136.84441019528595,233.60265369066676,0.8912499999999999,1,B_utilization_proxy_pdf_cost
89,63,136.50030721894265,251.9067251844993,0.9056249999999999,0,B_utilization_proxy_pdf_cost
90,63,136.50030721894265,251.9067251844993,0.9056249999999999,0,B_utilization_proxy_pdf_cost
91,63,136.50030721894265,251.9067251844993,0.9056249999999999,1,B_utilization_proxy_pdf_cost
92,62,136.34515293667687,233.10339643205768,0.8912499999999999,0,B_utilization_proxy_pdf_cost
93,62,136.34515293667687,233.10339643205768,0.8912499999999999,1,B_utilization_proxy_pdf_cost
94,63,135.4982815606037,250.90469952616033,0.9056249999999999,1,B_utilization_proxy_pdf_cost
95,62,134.95933254504962,231.71757604043043,0.8912499999999999,0,B_utilization_proxy_pdf_cost
96,62,134.95933254504962,231.71757604043043,0.8912499999999999,0,B_utilization_proxy_pdf_cost
97,62,134.95933254504962,231.71757604043043,0.8912499999999999,0,B_utilization_proxy_pdf_cost
98,62,134.95933254504962,231.71757604043043,0.8912499999999999,0,B_utilization_proxy_pdf_cost
99,62,134.95933254504962,231.71757604043043,0.8912499999999999,1,B_utilization_proxy_pdf_cost
100,61,134.81913487874002,215.91587024582546,0.876875,1,B_utilization_proxy_pdf_cost
101,60,134.63365758898158,202.58074556065012,0.8624999999999999,1,B_utilization_proxy_pdf_cost
102,61,133.62723751209586,214.72397287918133,0.876875,1,B_utilization_proxy_pdf_cost
103,62,133.3694608367444,230.12770433212523,0.8912499999999999,0,B_utilization_proxy_pdf_cost
104,62,133.3694608367444,230.12770433212523,0.8912499999999999,0,B_utilization_proxy_pdf_cost
105,62,133.3694608367444,230.12770433212523,0.8912499999999999,0,B_utilization_proxy_pdf_cost
106,62,133.3694608367444,230.12770433212523,0.8912499999999999,0,B_utilization_proxy_pdf_cost
107,62,133.3694608367444,230.12770433212523,0.8912499999999999,0,B_utilization_proxy_pdf_cost
108,62,133.3694608367444,230.12770433212523,0.8912499999999999,0,B_utilization_proxy_pdf_cost
109,62,133.3694608367444,230.12770433212523,0.8912499999999999,0,B_utilization_proxy_pdf_cost
110,62,133.3694608367444,230.12770433212523,0.8912499999999999,0,B_utilization_proxy_pdf_cost
111,62,133.3694608367444,230.12770433212523,0.8912499999999999,0,B_utilization_proxy_pdf_cost
112,62,133.3694608367444,230.12770433212523,0.8912499999999999,0,B_utilization_proxy_pdf_cost
113,62,133.3694608367444,230.12770433212523,0.8912499999999999,0,B_utilization_proxy_pdf_cost
114,62,133.3694608367444,230.12770433212523,0.8912499999999999,1,B_utilization_proxy_pdf_cost
115,61,132.571801995553,213.66853736263843,0.876875,0,B_utilization_proxy_pdf_cost
116,61,132.571801995553,213.66853736263843,0.876875,0,B_utilization_proxy_pdf_cost
117,61,132.571801995553,213.66853736263843,0.876875,0,B_utilization_proxy_pdf_cost
118,61,132.571801995553,213.66853736263843,0.876875,0,B_utilization_proxy_pdf_cost
119,61,132.571801995553,213.66853736263843,0.876875,0,B_utilization_proxy_pdf_cost
120,61,132.571801995553,213.66853736263843,0.876875,0,B_utilization_proxy_pdf_cost
121,61,132.571801995553,213.66853736263843,0.876875,1,B_utilization_proxy_pdf_cost
122,62,132.4363075619301,229.19455105731092,0.8912499999999999,0,B_utilization_proxy_pdf_cost
123,62,132.4363075619301,229.19455105731092,0.8912499999999999,0,B_utilization_proxy_pdf_cost
124,62,132.4363075619301,229.19455105731092,0.8912499999999999,0,B_utilization_proxy_pdf_cost
125,62,132.4363075619301,229.19455105731092,0.8912499999999999,0,B_utilization_proxy_pdf_cost
126,62,132.4363075619301,229.19455105731092,0.8912499999999999,0,B_utilization_proxy_pdf_cost
127,62,132.4363075619301,229.19455105731092,0.8912499999999999,0,B_utilization_proxy_pdf_cost
128,62,132.4363075619301,229.19455105731092,0.8912499999999999,0,B_utilization_proxy_pdf_cost
129,62,132.4363075619301,229.19455105731092,0.8912499999999999,0,B_utilization_proxy_pdf_cost
130,62,132.4363075619301,229.19455105731092,0.8912499999999999,0,B_utilization_proxy_pdf_cost
131,62,132.4363075619301,229.19455105731092,0.8912499999999999,0,B_utilization_proxy_pdf_cost
132,62,132.4363075619301,229.19455105731092,0.8912499999999999,0,B_utilization_proxy_pdf_cost
133,62,132.4363075619301,229.19455105731092,0.8912499999999999,0,B_utilization_proxy_pdf_cost
134,62,132.4363075619301,229.19455105731092,0.8912499999999999,1,B_utilization_proxy_pdf_cost
135,61,132.05485398745037,213.1515893545358,0.876875,0,B_utilization_proxy_pdf_cost
136,61,132.05485398745037,213.1515893545358,0.876875,0,B_utilization_proxy_pdf_cost
137,61,132.05485398745037,213.1515893545358,0.876875,0,B_utilization_proxy_pdf_cost
138,61,132.05485398745037,213.1515893545358,0.876875,1,B_utilization_proxy_pdf_cost
139,62,131.69302599542098,228.4512694908018,0.8912499999999999,0,B_utilization_proxy_pdf_cost
