model,node,s_star,meaning
B_utilization_proxy_pdf_cost,0,1,offload
B_utilization_proxy_pdf_cost,1,0,local
B_utilization_proxy_pdf_cost,2,0,local
B_utilization_proxy_pdf_cost,3,1,offload
B_utilization_proxy_pdf_cost,4,1,offload
B_utilization_proxy_pdf_cost,5,1,offload
B_utilization_proxy_pdf_cost,6,1,offload
B_utilization_proxy_pdf_cost,7,1,offload
B_utilization_proxy_pdf_cost,8,0,local
B_utilization_proxy_pdf_cost,9,0,local
B_utilization_proxy_pdf_cost,10,1,offload
B_utilization_proxy_pdf_cost,11,1,offload
B_utilization_proxy_pdf_cost,12,1,offload
B_utilization_proxy_pdf_cost,13,0,local
B_utilization_proxy_pdf_cost,14,0,local
B_utilization_proxy_pdf_cost,15,1,offload
B_utilization_proxy_pdf_cost,16,0,local
B_utilization_proxy_pdf_cost,17,1,offload
B_utilization_proxy_pdf_cost,18,0,local
B_utilization_proxy_pdf_cost,19,1,offload
B_utilization_proxy_pdf_cost,20,1,offload
B_utilization_proxy_pdf_cost,21,1,offload
B_utilization_proxy_pdf_cost,22,1,offload
B_utilization_proxy_pdf_cost,23,0,local
B_utilization_proxy_pdf_cost,24,1,offload
B_utilization_proxy_pdf_cost,25,1,offload
B_utilization_proxy_pdf_cost,26,0,local
B_utilization_proxy_pdf_cost,27,1,offload
B_utilization_proxy_pdf_cost,28,1,offload
B_utilization_proxy_pdf_cost,29,1,offload
B_utilization_proxy_pdf_cost,30,1,offload
B_utilization_proxy_pdf_cost,31,1,offload
B_utilization_proxy_pdf_cost,32,1,offload
B_utilization_proxy_pdf_cost,33,1,offload
B_utilization_proxy_pdf_cost,34,1,offload
B_utilization_proxy_pdf_cost,35,1,offload
B_utilization_proxy_pdf_cost,36,1,offload
B_utilization_proxy_pdf_cost,37,1,offload
B_utilization_proxy_pdf_cost,38,0,local
B_utilization_proxy_pdf_cost,39,1,offload
B_utilization_proxy_pdf_cost,40,1,offload
B_utilization_proxy_pdf_cost,41,1,offload
B_utilization_proxy_pdf_cost,42,0,local
B_utilization_proxy_pdf_cost,43,0,local
B_utilization_proxy_pdf_cost,44,0,local
B_utilization_proxy_pdf_cost,45,1,offload
B_utilization_proxy_pdf_cost,46,1,offload
B_utilization_proxy_pdf_cost,47,0,local
B_utilization_proxy_pdf_cost,48,0,local
B_utilization_proxy_pdf_cost,49,1,offload
B_utilization_proxy_pdf_cost,50,1,offload
B_utilization_proxy_pdf_cost,51,1,offload
B_utilization_proxy_pdf_cost,52,1,offload
B_utilization_proxy_pdf_cost,53,0,local
B_utilization_proxy_pdf_cost,54,1,offload
B_utilization_proxy_pdf_cost,55,1,offload
B_utilization_proxy_pdf_cost,56,1,offload
B_utilization_proxy_pdf_cost,57,0,local
B_utilization_proxy_pdf_cost,58,1,offload
B_utilization_proxy_pdf_cost,59,1,offload
B_utilization_proxy_pdf_cost,60,1,offload
B_utilization_proxy_pdf_cost,61,1,offload
B_utilization_proxy_pdf_cost,62,1,offload
B_utilization_proxy_pdf_cost,63,0,local
B_utilization_proxy_pdf_cost,64,1,offload
B_utilization_proxy_pdf_cost,65,1,offload
B_utilization_proxy_pdf_cost,66,0,local
B_utilization_proxy_pdf_cost,67,0,local
B_utilization_proxy_pdf_cost,68,0,local
B_utilization_proxy_pdf_cost,69,1,offload
B_utilization_proxy_pdf_cost,70,0,local
B_utilization_proxy_pdf_cost,71,1,offload
B_utilization_proxy_pdf_cost,72,0,local
B_utilization_proxy_pdf_cost,73,1,offload
B_utilization_proxy_pdf_cost,74,0,local
B_utilization_proxy_pdf_cost,75,0,local
B_utilization_proxy_pdf_cost,76,1,offload
B_utilization_proxy_pdf_cost,77,0,local
B_utilization_proxy_pdf_cost,78,0,local
B_utilization_proxy_pdf_cost,79,1,offload
B_utilization_proxy_pdf_cost,80,0,local
B_utilization_proxy_pdf_cost,81,1,offload
B_utilization_proxy_pdf_cost,82,1,offload
B_utilization_proxy_pdf_cost,83,1,offload
B_utilization_proxy_pdf_cost,84,1,offload
B_utilization_proxy_pdf_cost,85,1,offload
B_utilization_proxy_pdf_cost,86,0,local
B_utilization_proxy_pdf_cost,87,0,local
B_utilization_proxy_pdf_cost,88,1,offload
B_utilization_proxy_pdf_cost,89,1,offload
B_utilization_proxy_pdf_cost,90,0,local
B_utilization_proxy_pdf_cost,91,0,local
B_utilization_proxy_pdf_cost,92,0,local
B_utilization_proxy_pdf_cost,93,1,offload
B_utilization_proxy_pdf_cost,94,1,offload
B_utilization_proxy_pdf_cost,95,0,local
B_utilization_proxy_pdf_cost,96,0,local
B_utilization_proxy_pdf_cost,97,1,offload
B_utilization_proxy_pdf_cost,98,1,offload
B_utilization_proxy_pdf_cost,99,0,local
